DLL: C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\TeamFoundation\Team Explorer\Git\usr\bin\msys-2.0.dll, Section: /4, Permissions: RWX, Size: 14848
DLL: C:\Users\user\AppData\Local\AzureFunctionsTools\Releases\2.60.0\cli_x64\System.Private.CoreLib.dll, Section: .xdata, Permissions: RWX, Size: 231424
DLL: C:\Users\user\AppData\Local\GitHubDesktop\app-3.2.4\resources\app\git\usr\bin\msys-2.0.dll, Section: /4, Permissions: RWX, Size: 14848
DLL: C:\Users\user\AppData\Local\GitHubDesktop\app-3.2.6\resources\app\git\usr\bin\msys-2.0.dll, Section: /4, Permissions: RWX, Size: 14848
DLL: C:\Windows\assembly\NativeImages_v2.0.50727_64\Accessibility\df92c187e44d1d6c2314c264cf99459e\Accessibility.ni.dll, Section: .xdata, Permissions: RWX, Size: 10240
DLL: C:\Windows\assembly\NativeImages_v2.0.50727_64\CustomMarshalers\1fbf70d4de56c14bc6a1ae701e743022\CustomMarshalers.ni.dll, Section: .xdata, Permissions: RWX, Size: 11264
DLL: C:\Windows\assembly\NativeImages_v2.0.50727_64\Microsoft.Ink\ab73735b9c9cb9de8adf2034c343488c\Microsoft.Ink.ni.dll, Section: .xdata, Permissions: RWX, Size: 69120
DLL: C:\Windows\assembly\NativeImages_v2.0.50727_64\Microsoft.VisualBas#\75361b72c6a8c3519ec8843c47449223\Microsoft.VisualBasic.ni.dll, Section: .xdata, Permissions: RWX, Size: 30720
DLL: C:\Windows\assembly\NativeImages_v2.0.50727_64\mscorlib\fd43126a84e788b85f6b9f86da9716a0\mscorlib.ni.dll, Section: .xdata, Permissions: RWX, Size: 166400
DLL: C:\Windows\assembly\NativeImages_v2.0.50727_64\PresentationCore\4623baba114c06091d9cdabe41c8a505\PresentationCore.ni.dll, Section: .xdata, Permissions: RWX, Size: 139776
DLL: C:\Windows\assembly\NativeImages_v2.0.50727_64\PresentationFramewo#\2d76ab36f9e67710f453cac01a48d130\PresentationFramework.ni.dll, Section: .xdata, Permissions: RWX, Size: 176128
DLL: C:\Windows\assembly\NativeImages_v2.0.50727_64\PresentationFramewo#\96f4aa0d63dd2b5db5e06690915a5665\PresentationFramework.Aero.ni.dll, Section: .xdata, Permissions: RWX, Size: 13312
